############################
### DOCUMENT
# [1] M. Capacci, M. Minucci, and A. Severi, “Simple numerical model describing discharge parameters in orificed hollow cathode devices,” 33rd Jt. Propuls. Conf. Exhib., 1997.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Discharge voltage vs. discharge current 
### DATA
# Id (A), Vd (V) 
### NOTES
# The cathode is the A300. Mass flow rate is 1 sccm
############################
Id,Vd
0.19526,13.9815
0.20711,13.634
0.21896,13.5467
0.22607,13.3729
0.23556,13.0255
0.24504,12.8516
0.25452,12.591
0.26637,12.5036
0.27585,12.3297
0.2877,12.1557
0.29481,11.8952
0.30667,11.7211
0.31615,11.6339
0.328,11.4598
0.33748,11.3726
0.34933,11.1986
0.35881,11.1113
0.37067,10.9373
0.38252,10.8499
0.392,10.676
0.40622,10.5018
0.41807,10.4145
0.42756,10.414
0.43941,10.4133
0.45126,10.2393
0.456,10.1523
0.46785,10.1517
0.47733,10.0645
0.48919,10.0638
0.50104,9.9765
0.51289,9.8891
0.52474,9.8885
0.53659,9.8878
0.54844,9.8872
0.55793,9.8867
0.56978,9.7126
0.58163,9.712
0.59111,9.6248
0.60296,9.4507
0.61481,9.5368
0.62667,9.5361
0.63852,9.5355
0.65037,9.5348
0.66222,9.5342
0.67407,9.4469
0.68356,9.3596
0.69541,9.2723
0.70726,9.1849
0.71911,9.1843
0.73096,9.1837
0.74281,9.183
0.75467,9.1824
0.76652,9.1817
0.77837,9.1811
0.79022,9.1804
0.80444,9.1797
0.8163,9.179
0.82815,9.1784
0.84,9.1777
0.85185,9.1771
0.8637,9.1765
0.87556,9.1758
0.88741,9.1752
0.89926,9.0878
0.91111,9.0005
0.92296,8.9998
0.93481,8.9992
0.94667,8.9986
0.95852,8.9979
0.97037,8.9973
0.97985,9.0835
0.9917,8.9961
